,review
146,就这 6.9？？？？？？？
147,基本是场美学的灾难
148,超级烂！！！
149,这是一部悬疑片吗？有必要翻来覆去地重复讲同一件事吗？感觉自己看得是《金刚川之月光宝盒》？把牺牲拍得太轻描淡写了，摄制团队还是政治觉悟不够高。
150,10.21提前观影…呃…2020是张译的电影年不为过…更加期待老谋子拍他的…整部电影情感承重点果不其然压在了演技最扎实的张译老师身上，表演很棒，可是只能说电影本身太不行…多角度叙事，却无法做到衔接顺畅，多处重复镜头，无法更好带入故事……夹杂一些不必要的情感点，拿着机枪往天空扫射，你到底是在发泄内心的愤怒还是为了让敌人发现你？可是你当时的环境这样做真的好吗？是受了抗日雷剧的影响吗？一星给张译，一星给当年英勇牺牲以及为国奋战的所有中国战士…其实以后这种时间不如把老一辈电影人拍过的战争片重新修复上映一遍也是极好的…毕竟现在的中国电影人，哦，中国电影商人们心真的不在电影上…也是为难他们了…
151,自以为拍了个《敦刻尔克》，没想到成品是个《西游记后传》。而我甚至谈不上喜欢敦刻尔克本克！其余的槽点已经不值得一一细数了。
152,太过拖沓，所有的时间都被用在张译舞爪张牙上，我希望我们主旋律是个多个立面的一精彩故事，而不是一个一元化，竭斯底里的悬空概念。
153,中国速度横行，终究还是踢到了艺术创作的铁板。不怪管虎和演员。
154,不好意思，虽然志愿军能半个小时搭好一座人桥创造神迹，但是想三个月拍出一部大制作战争片这种事最终还是失败了，做事还是得尊重客观规律。
155,表现内容过于空洞 
156,一加一加一小于一
157,"前2个段落都是凑数的，完全可以只要第3、4段。
分成4个段落毫无意义，不仅有太多镜头是重复的，而且并没有像《心迷宫》之类的多线叙事电影那样产生1+1大于2的效果，还不如用常规的线性叙事。
采用分段叙事唯一的原因就是这样拍得更快，可以赶在抗美援朝纪念日上映。
幸亏还有张译，张译的表演是整部电影为数不多的看点之一，可以说是他一个人挽救了整部电影。
从胆小怯懦、老实巴交一步步成为了硬汉，成为了真正的张飞，即便是残肢断臂也要和敌人来个了断，不仅仅是出于职责，更是为了老关。
最后吹哨告诉老关“我们打中了”也让人感慨万千。
吴京也算有所突破，不再是以一敌百的人设了，也不是为了拯救全世界而牺牲，而是为了让徒弟活下去而牺牲。
表面上我行我素、刚愎自用，其实是把危险留给自己，把更安全的工作留给徒弟。"
158,两星半。四段式，水平参差不齐。首段整体描绘修桥的全过程，铺设了大量后续情节不同角度的细节，但点过多，导致第一段内容被填得太满，节奏出现了明显问题。第二段全片最差，美国大兵角色的塑造简直败笔，强行占剧情。第三段质量有所回升，张飞与关磊之间的情感刻画得不错，为全片最佳的部分。结尾段煽情过分浓郁了，先是《我的祖国》再到口号式的旁白，最后又是纪录片彩蛋，太急于让观众落泪，太刻意了。
159,我妈看睡着了，正片太尬了，整个正片都没有片尾纪录片片段好哭
160,影片用三个不同视角讲述同一件事的点子不错，但在执行上实在没法恭维，一方面视角混乱，叙事主体形同虚设，二来大量素材反复使用，一个镜头看3遍的情况出现N次，再加上同样3*N的字幕也恶化了观影体验，此外作为旁白的中美两个根本没有戏份的角色也直接暴露了本片的笨拙，似乎没有个老人就不会讲故事了。三个视角的比重也严重失调，大部队线完全就是视角大杂烩而且这群人的存在感最弱，美军线更是矫情尴尬难以直视，当然主创真正在憋的显然是第三条线张译吴京的大招，毕竟所有的粗口血腥都在这呢，而且本片的重口如此浓墨重彩…可通过感官刺激来营造战争实在是有点1.0，表演方面真的也就看张译了，吴京现在已经演啥都是战狼式的兵痞老小孩了，总之虽然得肯定本片的主旋律宣扬作用，但这类电影啊，要是能唬住你那它就是爆款，可万一要没唬住呢？
161,命题作文！简单的故事，拖拖拉拉拍出四个篇章！主创拍得心力交瘁，观众看得昏昏欲睡！至今没有一个像样的预告，可见剧情有多简单！总而言之，得不偿失，何苦来哉！花点时间，好好拍一部抗美援朝佳作，不行吗？
162,搞不清有什么意义，单说题材甚至不如几十年前的老电影，可能就是为了商业捞钱吧。
163,×。「敦刻尔克」的概念是不同长度的时间线以蒙太奇的魔法进行编辑和并置，其所试图达成的是高潮能量的叠加与接力，相比之下「金刚川」以线性排布三个视角只是一次编剧层面的偷懒，更何况其视角并不坚定，同一素材的跨视角使用让形式仅沦为空架子。对于战争的意淫已经达到了无法容忍的程度，一味强调个人的愤怒、仇恨、气势和胜负心，这是网络文学都已淘汰的情绪调动手段。对英语念白口吻的不熟悉和对敌人的刻板印象（戴上牛仔帽、念圣经）已是根深蒂固的顽疾，还要以敌人之口为我方叫好，这是怎样可悲的自我感动。最后的人桥由牺牲的姿态所构成，毫不遮掩地利用观众对死亡的天然共情，并将其转移至某种意识形态上。无论意识形态如何，这种方法都应受到强烈的谴责。
164,1.0。1.三个月成片，以金刚川换八佰，拍摄素材全被用于正片，几乎没有丝毫浪费，正片不够，3D建模科教片套路来凑。电影事业不能这么搞。2.当好莱坞战争片2.0时代我们都觉得老套时，华语电影还在1.0时代打转，显然中国电影已经完全脱钩于世界，恰如这个时代本身。3.竟然还有人提《敦刻尔克》，比笑话还笑话。
165,能不能正正规规的拍战争片
166,管导，您可真逗
167,比《英雄儿女》《上甘岭》差多了
168,所有的士兵都值得尊敬，但这部电影确实是太狗皮倒灶了。我认为我们的导演拍战争片应该有自己的一套方法，不要完全去学好莱坞拍战争大场面，我不觉得战争就等于炮火连天与血肉横飞，完全没有细节与感情可言，除了强烈的敌我对立情绪。演员表达情绪的方法还停留在怒吼、大喘气、龇牙咧嘴、用步枪朝着飞机猛烈开枪，无语。还有各种莫名其妙的空镜和意象，管虎拍800借的白马真是物尽其用了。在叙事结构上，明显看得出想学敦刻尔克，玩时间线，连背景音的秒表声都学到了，但他妈真的是东施效颦，就那么一件事，几遍重复，看得人真的很厌烦。我已经竭尽所能想找一找这部片子里的优点，但真的不行……哎，花两三个月拍部任务片，可能就这样吧……
169,不知道昨天晚上看点映的时候，我是太累了，还是电影本身我觉得有些无聊，看到一半的时候实在挺不住，竟睡了20分钟。闭眼之前，邓超那个角色还活蹦乱跳的，醒来的时候就挂了……
170,我的四部分感受：不太好看—有点新意—好累—没必要
171,看的真的是尴尬，看完抗美援朝电影最后记住的是美国飞行员的'光辉形象'，白瞎了这么好题材
172,"换皮电影。
知道时间紧任务重，但这真的不是为电影质量开脱的理由。用赶工任务片、拼盘大电影来献礼，本身就是对历史的大不敬了吧？"
173,………我的眼睛也蒙了层纱布吧？
174,第二段美国空军视角好想快进⏩太尬了.....不必要为了衬托而衬托，更不必为了渲染而渲染。好吧，可能是我对主旋律抱有幻想。也完全不要用命题作文或者时间紧来赞美一部影片，听起来像卖惨。bgm和《敦刻尔克》有点类似，还有用镜头怼脸的各种相似拍摄手法。一部影片好看与否只看影片呈现结果。
175,一直期待抗美援朝题材的电影上映，早早买票去看，结果令人失望。十分钟的剧情愣是拍成两小时，白瞎了两位影帝的表演，事实告诉我们在牛逼的演技也拯救不了拉胯的剧情。
176,期待越高，失望越大。除了张译演的还行，这样的赶工之作，一言难尽。以后应该不会再去看了
177,（50/100）两星不能再多了，金刚川，又名修桥和打飞机那点破事，本以为进影院是看大决战那一类型的，结果就这？ 其实我也不强求拍成大决战，有很多类型方向供导演选择，可以学徐克拍成武侠片的另一种形式存在，可以学林超贤精通特种作战场面的顶级爆米花拍法，既然都学不会你也可以自己抄袭自己的八佰，煽情让观众哭出来，好的不学，却学了最不应该学的敦克尔克大逃跑，学了也就学了，关键学的不咋地，镜头语言用的不太好，五毛特效，不合乎军事逻辑，既没故事，也没比较亮眼的人物塑造。也怪不得拍了几个月，就仓促上映，明显感受到从头到尾的单薄无力，敷衍了事，关键还贼tm长。即使是作为政治献礼片，它也很失败。这三名导演这次是真砸了招牌，如果它能超过五亿，我想在座每位观众都有责任。
178,这不是来歌颂英雄的，是来恶心英雄的。
179,这样一部电影，去谈论它的艺术水准几乎没有意义。拍它的人知道它是一种宣传，看它的人知道它是一种宣传，而最无奈的是，我们都知道这种宣传在这里确实有用。伟人一早已经讲过，“美帝有飞机大炮，我们有七万万人民”，至少请真正理解了这句话再来讨论这部电影。
180,1.0。1.三个月成片，以金刚川换八佰，拍摄素材全被用于正片，几乎没有丝毫浪费，正片不够，3D建模科教片套路来凑。电影事业不能这么搞。2.当好莱坞战争片2.0时代我们都觉得老套时，华语电影还在1.0时代打转，显然中国电影已经完全脱钩于世界，恰如这个时代本身。3.竟然还有人提《敦刻尔克》，比笑话还笑话。
181,太血腥了 建议不要带16岁以下孩子观看，别的不说了，张译真牛逼
182,这部剧印证了美国人的刻板偏见，中国人是靠人肉牺牲胁迫人权国家停止战斗的。事实上，中国的牺牲和战术都要好于美国的联合国军。管虎对于历史的理解总是一言难尽。
183,叙事手法太闷了。。除了第三节，其他的很难看下去
184,开场动画五毛钱冰火，结尾动画则戏仿的复联；这不断重组的时间线，这谢泼德音阶，这玉米地……这烧焦的玉米地，这不就是诺兰式印象的工业化尝试吗，加上血肉横飞的血浆片印象，脑补了一下去主旋律滤镜，加重喜剧，不就是部东成西就混搭惊声尖笑混搭asylum吗。该有一部更文学性的《金刚川上的桥》，但这部真的可以往《金刚III》的方向再靠近一点！
185,管导，您可真逗
186,这不是来歌颂英雄的，是来恶心英雄的。
187,看的很不舒服，我很敬佩入朝参战的志愿军，但是对这部电影很失望，浪费我60块浪费我两小时
188,唯一有价值的内容是开头有一些新高清扫描的当年国内新闻厂拍摄的新闻片段落
189,其实连1星都不想给，如果这类电影依旧大卖，那之后我们会在大银幕上看到什么呢？
190,40分钟内容80分钟重播
191,居然分了那么多段，可整体上既没有套式揭秘的惊奇，又没有平衡互补的聚气，只觉芜杂臃肿，翻来覆去遮盖赶工的捉襟见肘，又时时暴露偷师痕迹。用张译的台词，每开新篇，就是“他要来了！他又要来了！”好不容易立起张飞一角，哪怕更显其他角色贫血，却又被结尾拖累。人桥是个多么浓墨重彩的题材，活生生被浪费了，太过可惜，完全可以好好打磨一部众生长篇，抑或是老老实实拍近来流行的主旋律短片集。幸好IMAX还有视觉效果，群山川河，机枪炮火，越壮美越见悲怆。一星半。
192,演员的表演无可挑剔，但是剧本太烂，都2020年了，表现出的军人还是一不怕苦，二不怕死，对我军的智慧没有表现好，光不怕死的军队，还不如去拍义和团
193,难看，真的难看，有史以来看的最差的电影，不要拿革命先烈做挡箭牌👌
194,有够烂的，主旋律电影能不能好好拍啊？
195,真的后悔贡献票房，历史题材的影视作品首先不能违背历史
196,英雄是伟大的，战争是残酷的，愿世界和平
197,果粉管虎根本就不相信新中国志愿军能打赢美帝，最后把志愿军拍的像蚂蚁一样人肉搭桥，美帝仁慈的恩惠停止了轰炸才让志愿军奇迹得胜，管虎想表达的本意是志愿军是一群蝼蚁，绝不相信能取胜。而真实的金刚川志愿军是造的水下30厘米暗桥渡江，美帝根本连桥的影子都找不到被玩的团团转，这就是真正的大智慧。而真正的蝼蚁是管虎之流。
198,真的是因为题材去看的，看完无比失落，是的片子能得三星，但导演的帽子……真的给一星都是多的
199,借个Dunkirk框架，离800都差得远。不过这命题作文赶着交卷还能怎么办呢？
200,管虎出品，一星作品。
201,得先自我检讨，都活了二十多年了还是那么“天真”，错以为即便是接国家的活，管虎们依然能守住某些原则。可现实很骨感，“献礼片”终究还是要以“献”的姿态来送这个“大礼”——发生在我们这个笃信唯物主义的国家中的神人神迹。“古有三国长坂坡救赵云吓曹军张翼德，今有韩战金刚川独臂独腿打飞机张译德”，美军炸得就那么不准，苏联给的喀秋莎就那么牛逼。很“燃”很“热血”，推荐给广大民族主义高涨的观众，影迷要是没空不看也罢。
202,确实不行，但最后还是让我很感动
203,"我只站在我自己的观看角度来说，看完真的很失望。
明显能感觉出来拍摄这个电影的人确实不爱这个国家。只是把“上边”下的任务当干巴巴的旁白念出来，这其实是很恶心人的一种高级手法。
我呢也只是因为想看当年志愿军才去看的，能勉强看的就只有3和4部分。
整个电影都很敷衍，要剧情没剧情要特效没特效，反反复复重复镜头如同鸡肋一般，如果导演能拿出平时讽刺我国的劲头来拍着片的话，估计就是个大片了吧。"
204,20/100，对于一部商业片而言，这样的呈现方法其实比《敦刻尔克》还要实验了。弃节奏而不顾，最后的结果实在灾难，从制作上完全是半成品，后期肯定是没做完。大量的提示性字幕简直是看不起观众智商。反应镜头拿重复素材凑数，又呆板又尴尬，完全可以不这样接镜头啊。所以并列的三段只有第一段还算完整，后两段就是生搬硬凑。而本片究竟想要表达什么呢？在这里看不到人，看不到生命，只妄图编织神话。好像看到某种需要极度警惕的煽动性，与完全极端的对立。
205,电影很像结尾谭维维的那首主题曲，歌是好歌，词儿是好词，技术也有，但是就唱出了通勤的感觉，强打着精神，却还是枯燥麻木。
206,不忘记历史！！！！
207,我作为一个特别喜欢《八佰》的人来看这个电影，真是觉得倍感无语。除了大家吐槽的重要的事情说三遍外，那匹在《八佰》里就出现过的白马也很出戏，如果那是个人类演员，我肯定要怀疑它潜规则导演了。
208,我原本以为《集结号》会是国产战争电影开始反战的起点，没想到只是最后的高潮。敌人都是肤浅的战争狂人，我方都是不怕死的英勇壮士，集体大于个人，爱国胜过爱情，越惨烈越痛快，越血腥越悲情。低劣，低端，低级。
209,一星给张译卖力的表演，一星给最后的歌曲。
210,一部迎合着国内反美情绪打造的抗美援朝题材献礼电影居然“借鉴”的是美国出品电影的结构和表现形式，是不是很讽刺？在如此高昂的预算和三个导演的加成之下真的不存在什么赶工的奇迹。一个守桥、建桥、过桥的故事其实可以拍得很燃，就像是《集结号》或者《我们曾是战士》，但是三个视角拍一个事件给人的感觉就是车轱辘话来回说、没话找话拖时间，中段的美军视角更是一个自作多情的笑话。整部电影和《八佰》如出一辙，松散、混乱、主题不明，但凡把1或者3任何一段讲透都可以达到三星水平。PS：阿鲲再一次贡献了毫无原创性的配乐，恶心。
211,那个桥不大符合力学常识 当老百姓是傻子 总觉得摆个人民英雄纪念碑造型就无敌了 哪有这么简单 如今过桥过桥的 又过回十七年电影的模样了 
212,#电影院#早知道一个简单的炸桥修桥拍了四遍，就不带全家来看了。。。喜欢看大场面的老爸提前退场，没看到最后震撼人心的人肉桥场面，替他可惜。最后，希望没诚意的拼盘电影通通滚出中国！
213,一星都不想给，一部电影一件事情放三遍，看第二遍的时候就已经疲倦了，重复的画面不停的放。不过还是致敬英雄吧，希望祖国越来越强大。
214,这剧情真的对不起志愿军烈士。
215,历史虚无主义🤮
216,电影都拍不过电视剧，也是可以的。。。
217,为正在逼近的战争做好群众准备罢了。如果真的不幸有这么一天，那么到时谁是炮灰，谁是“叛徒”，谁是左右为难的舔狗，谁是趁火打劫的奸商，谁是被流放的游子，从这个电影的舆论场就开始初现端倪了。
218,别人叫交叉叙事，你这叫往复叙事。就半小时电视专题片的容量，剩下一个半小时车轱辘就在那来回碾啊碾。不想着往前走，就琢磨怎么把车辙往深了磨，然后就碾出个坑来陷进去了。
219,77天赶工完成的作品，很多人用“工业奇迹”四个字来评价，我觉得还有另外四个字更贴切——政治任务（Political Rush Job）。
220,故事很简单，三个角度。后期有点强行煽情。过河的方式很多种，就非得用桥吗？钢索、爬绳等等，行不行？
221,看完预告、短评、各路口碑，果断2分！为啥，因为电影票太贵，又没人管，一个小县城票价40块钱！算了，看 短评好了！
222,太拖沓了
223,电影里只有血性，但没人性。只有勇气没有智慧，眼里只有胜利但是无正义，宣传只有英雄思想心里没人民，宣传要有荣誉牺牲精神但是没民族正气。
224,管虎老师身体力行的告诉我们，啥叫重要的事情说三遍。
225,中国拍战争片依然是敌我状态，到底战争片里要反映的什么看来很多人自知却拍不出来。
226,一张票钱看了三遍 挺值
227,一个故事，三种视角。这种电影想拍得好很难，需要多种视角的内容都很充实且足够有新鲜性才能把整部作品支撑起来，显然金刚川没有做到。重复内容过多，从第二章开始就对接下来的内容少了很多期待，只是一些细节部分的补充。有些剧情还很像抗日神剧，有点过。作为一个演员，张译撑起了这部戏，没有他这部片子可能会更差。
228,你管这玩意叫电影？
229,虽然现实是反反复复修了七次，但电影如果这样拍的话，则显得剧情重复拖沓。让人很难看下去。
230,再这么拍下去迟早完蛋
231,之前全网吹，看了失望
232,多好的题材啊生生被剪电影的剪废了，重复得变成西游记后传了，我还没用力你就倒下了。到最后貌似还是个僵尸片？
233,那句「我知道你们中国人不信神，但你们创造了实实在在的神迹」透露出了《金刚川》试图比肩《血战钢锯岭》的野心。然而要企及钢锯岭，靠的不是愈发赤裸的血腥镜头和宏大场面，而是纯粹决绝的意志。道斯的意志自始至终是鲜明统一的：救人，不惜一切代价救人；历史上志愿军的意志自始至终也是鲜明统一的：求胜，不惜一切代价求胜。然而122分钟下来，我只看到一群心智似乎还没成年的二愣子在和战友斗气、和敌人斗气，根本没有明了「牺牲」的意义，似乎胜利就是先烈靠源源人海以命换命夺来的。如今的市场趋势下，没几个国人会在情感上反感爱国主义消费了，但你不能自己做了弱智宣传还想得到观众硬捧。前段时间翻朝战文献翻到潸然泪下，在电影院里我却昏昏欲睡。管虎的问题不是屁股歪，而是既没脑子还觉得观众没常识。
234,电影拍的很烂，2颗星是给抗美援朝的英雄的！
235,冗长，而且始终无法这种以一人意志，送百万人性命的战争无法共鸣
236,一星给题材 一星给片尾接英雄遗骨回家
237,“室内剧”？越到后来越煽情过头，多少炮灰，还是血肉长城那一套？人命不是最珍贵的？重于泰山还是轻于鸿毛？
238,这导演挺会恶心人的
239,像片头那个稻草人一样，又假又空，自我感动，开心麻花意外的还行
240,太难看了。虽然我不喜欢开心麻花，但是确实只有最后一个符合合家欢喜剧的节奏，跟春晚小品实景化似的。前面四个节奏稀碎，宁浩那个题材ok就没敢往深拍，另外三个就是三坨屎。
241,喜剧就是把过时的春晚小品搬进电影院吗
242,真的一点都不好看。。。。。。。。。。
243,现在咱们来换个思路想想，假如把这几个故事搬到春晚舞台上会是什么效果？是不是一点违和感都没有？因为它本质上就是五个小品段子，主旋律的命题清晰，跟小品演员比拍小品，自然是开心麻花在笑果上胜出，因为人家这么多年从来就没拍过电影。宁浩是最稳的导演，这个故事像“祖国”的续集，一如既往的松弛。片子还有一个亮点，范伟是最亮的那个老表演艺术家。看完这部电影深切体会到电影是意识形态的宣传工具，当它带着强烈的目的性和煽动性而来的时候，一旦遇到会拍的人，价值观输出效果是非常强大的，可以轻易控制观众的情感。也正因如此，电影的日常也成了审查的日常，这件武器太强大了。
244,农村医保+三个半美丽乡村+半个电商扶贫。眼界终究宁浩高一点，可春晚小品吧，还是麻花会拍。
245,毫无疑问，是烂片。
246,尴尬到死……我竟然起了一大早跑来看这个！？
247,荧幕上的鸡飞狗跳从来都不是我的家乡
248,整齐划一味同嚼蜡的春晚小品集锦，还不如上一部。上一部至少还有大时代大事件下的小人物，这部就只有为了歌颂伟大英明而创造的工具人和虚假情景，再加点段子和廉价煽情，这不就是春晚小品嘛。宁浩那个稍微好点也是因为直到最后才揭示主题，其它四个全是农村改造的奇观宣传片。
249,说一个观感吧，抖音里时不时会推那种在乡村的视频主，去展现脱贫之类乡镇的奇观。这片子同理，也能看出一群在城市生活的导演，真的很难懂这种“脱贫”。个人喜欢：麻花、宁浩、陈思诚、徐峥、邓超（csc那段满脑子里贵州的水司楼
250,我和我的中国梦
251,媒体场看的，实在太尬了、太尬了……求求陈思城徐峥邓超演戏就好……
252,类似春晚，每年都有，但越看越累了。
253,有一种听建国后讴歌型民歌的感觉，一般都是第一段特别好听，到了第二段就是开始讴歌起来了，所以大家都只爱唱一段。导演们要做到的是在这个命题作文里，尽量好看一点，不要那么空洞，也的确很努力了，有些片段很精巧，也的确会乐起来，演员真的蛮好的，尤其是范伟，但到最后引导到要讴歌的部分，就遮挡不住的春晚风了。这算是讴歌式小品拼盘吧。
254,恍似看了五个春晚小品。虽说为了不给大家添堵拍成喜剧可能是主动选择，但喜剧也不是只有“为了圆一个谎而撒更多的谎最后戳穿了但是皆大欢喜”这一种方式（以及这种方式是在太苏联了不是吗）。宁浩段可信性比去年好些，但沦为农村医保宣传片就过分了；陈思诚段美学简直辣眼睛，但是信XX不如信外星人也是挺坏的；徐峥段C位也是有道理的，本片最佳，刨掉旅游宣传部分，整体构思精巧，竟然是个元电影，还真cue到《最后一课》的几个名句，“1992”“上海交大”才是亮点；邓超段，英模事迹报告会吧，负分；开心麻花段，艾玛是部朝鲜电影啊，连含泪歌颂段都有了。整体：手机影像作为转场/媒介/材质；加分项：宁浩段表舅演技，徐峥段搭景长镜头，开心麻花段民乐编配苏联歌曲，竖屏画幅用法。打分：6-3-8-0-6，平均4.6，两星。
255,社会主义新农村建设的符号化也太浓重了，抹杀个人矛盾美化家庭牺牲的味道过份冲鼻，不过范伟老师的表演值得两颗星
256,一颗星都多了。
257,不用比谁拍得更好了 都差不多烂
258,在这代人的价值体系中，扶贫的重点不是贫，而是扶。是我伸出了援手，所以你要歌颂我。那到底是谁让你自断双手？历史是螺旋上升的，任何回答都只是假设。我心目中真正的“我和我的家乡”：《童年往事》《苏州河》《站台》《钢的琴》《路边野餐》。
259,起个大早，竟然是为了看这个？？
260,2.5 / 前四部：宁浩8分，陈思诚3分，徐峥6.5分，邓超1分。只有宁浩直接通过城市内的城乡碰撞处理了城市精英“返乡”这一视角本身的问题。其他几部几乎对这个问题的常规理解框架不假思索地全盘接受，因而造就了每个演员的cosplay感。
261,张北京，男，乐于助人，心地善良，敢想敢干；黄大宝，男，网红，科技能手，善于钻研，致力于把家乡的特产“运”出去，为家乡做贡献；范老师，男，辛勤耕耘十年，乡村教学硕果累累；乔树林，男，改造沙漠，为环境绿化做贡献，被人误会也不抱怨，不计回报；马亮，男，村领导，不计得失，不计荣誉，一年时间成功把家乡改造成度假村……闫师姐，女，网红带货，无亲和力，高高在上，斜眼看人；秋霞，女，一个只求丈夫上进，去俄罗斯留学的爱慕虚荣、撒小脾气的妻子；玲子，女，眼神不好、分不清谁是谁的胳膊。
262,史诗级烂片，就像小学生写作文
263,只有徐峥和麻花两个能看，两星正好。
264,整体都不如《祖国》，最差的《UFO》单元我都不知道演的是个啥？而且我有种我为什么要在电影院里看抖音的奇怪观感！最好的是开心麻花的《神笔马亮》，喜剧的节奏，反讽都是在点上的。#谁会拍喜剧真的一看便知#
265,后4个部分同质化真的太严重了，目的性超过电影性。只有宁浩一段算得上有特点有构思，其他部分的人物和情节，真的有哪怕一丁点可信度吗？整体来看，还不如《我和我的祖国》。
266,别卖票了，直接纳入社保。
267,和我认知的农村不太一样。
268,3.5分。看完这部电影，我再次见识到了中国电影人的天赋技能，即他们总是能把真的东西拍成假的。片中那些圣人般的人物确实存在——《感动中国》可以证明，片中那些农村的变化也同样存在——《新闻联播》可以证明，没想到导演们居然就堂而皇之地把这俩东西攒一块儿当成电影放给我们看了。但我们不是在看《感动中国》，也不是看《新闻联播》，我们是在看电影，电影得把假的东西往真了拍，而不是相反。电影不是不能歌功颂德，可以歌、可以颂，但至少，你在歌颂之前，你得相信你要拍的东西，我不觉得这几位导演有人相信这些东西，镜头的虚假出卖了他们的虚伪。我仿佛都能听到他们拍完收工时的心声：“操，可算拍完了，我这忠心表得红卫兵都挑不出毛病吧？”这部电影最大的问题是，按照现在它呈现的思路，它就不该被拍出来，可偏偏我们还那么需要它、想看它。
269,我恨自己……为什么要对国庆献礼片抱有期待……为什么要花钱看五个小品……如果不是沈叔叔，这两星也不想给……
270,连在电影院都逃不过抖音竖屏美学，先吐为敬。
271,不好看。太讨厌陈思诚了，物化佟丽娅，土化刘昊然，罪魁祸首！
272,晚会，小品集，命题作文，宣传文案，你们开心就好。主旋律并不一定让人反感，但虚伪修饰、只报喜不报忧就很让人恶心。且不说套刷医保卡比比皆是，就是正规医院刷医保买药也比外面药店贵好几倍，然而大病是报销不了的。
273,在电影院看这种小品，各方面都挺让人尴尬的。★ ★
274,我觉得吧，最后那个把歌颂的再减掉一点点，那个故事就及格了。徐铮的那个，通篇我都觉得是在反讽。假到不行，我们就是演场戏给你看，你，爱看不看。北京大爷，沙地苹果太像工具片了。UFO？I 服了 YOU。葛大爷说，我看行的时候，我想替他说，神州行。
275,也就麻花儿那段看得下去，毕竟在小品这个形式里摸爬滚打的经验最足最丰富，什么？？？你说这是短片集？？？No，这是另一维没有疫情发生的平行世界中的2020年央视春晚语言类节目集锦。
276,主题是把人骗回老家，所以注定很欠说服力，得花大功夫掩饰甚至卖弄这种不自然，生造奇观，观感因此比去年国庆的拼盘更差。宁浩依然不错，树下远去的背影算是精神气上告完别了，最后那段添上也不会太失体面。徐峥那段很明显不够踏实，但索性就把电影造梦造乌托邦的过程呈现出来，即使有取巧之嫌，范伟也中和掉不少浮夸。剩下三个，一个东拼西凑，一个毫无可取，一个恶心透顶。
277,徐峥和宁浩的part还可以，其他完全不行，尤其邓超和开心麻花放最后真的是无聊到可以用来催眠。徐峥虽然近期争议很大，但他的那段是全片最独特的，其他几部都在展现当代农村新面貌，而徐峥却让全村人倒退回90年代陪失忆老师演戏，范伟老师年轻时大框眼镜的造型让人浮想联翩，感觉藏着一个巨大政治隐喻...
278,完成度高不高，主创信不信，情感真不真，数数有多少台词是喊出来的。
279,百老汇宝龙。发展样板戏联播，所有人在骗所有人，为了某些只能在具体情境里成立的善，但情境的本土质感已被旋律的主调剥夺，乡村已全然改造为成果汇报，它的历史和自然都已经成为抒情的景观，宁浩、徐峥和开心麻花尽管诉诸不同的视角，但在“今天会更好”的合唱中没有实质区别。这就是当下的奇观，影院变成了观景台，影评人被雇佣为导游，个人只能在直播屏幕里获得真实的姿态，我们只能在晚会式的空洞中汲取想象的安慰。
280,5个故事均没有深刻表达人性，却不谋而合都用了“谎言”来表达属于所有人却不属于任何人的乡愁。为什么对家乡的爱都要靠骗呢？你感受一下
281,中心思想：美好生活全靠骗。TMD我去电影院不是为了看垃圾浮夸直播/短视频/广告的（正相反我是为了躲避这些）。如果不是陪家人我真犯不着看这破玩意儿瞎自己的眼。从第二个故事开始如坐针毡。How can I unwatch this shit | 20201005@集美万达
282,"2020.10.06，段磊，杭州百美汇影城（LUXE嘉里中心店）。
花钱看了一场春晚，恨不得直接朗诵社会主义核心价值观，一点含蓄不要了。一点没看出来好笑，也没看出来感人，只觉得恶心。优秀的独立艺术家都被招安成御用文人了，谁也不比谁更谄媚。想起郭德纲说的，还是先搞笑吧，不然那可太搞笑了。
提醒陈思诚和邓超，自恋的导演不适合拍喜剧，会让人特别尴尬。
提醒王俊凯和王源，你们要这样演电影，在表演上和队友的差距可就越拉越大了。"
283,非常生硬的命题作文，UFO那段我睡着了。
284,平均不如祖国，实为无一个真正在用心拍所谓家乡，现在越回想越尬，各种低级笑料。
285,《北京好人》的结尾砍掉还是可以的
286,如果你真的喜欢这种春晚拼盘，从电影院出来记得拍一拍身上的土。
287,无聊至极，为了煽情煽情
288,这么好的卡司，这么夹生的电影。
289,半部犯罪片半部爱情片，两种元素是如此脱节，以至于看着就像是把一部犯罪片一切两半硬塞了一段爱情戏进去。宋佳追章宇的几段无疑是全片最好看的部分，尽管没有人能解释宋佳凭什么就对章宇一眼万年了。除此之外的所有情节都是那样的冗长、狗血、可笑，一个从一开始就很难成立的故事居然还能以一种更难成立的方式收尾……所有演员都被浪费了，宋佳、李鸿其、王砚辉统统都是工具人，章宇这样一个极具性魅力的演员，在这部片子里只剩下了懦弱与被动（而且好多镜头都把他拍得好丑！），就这样还能觉得性感的观众，那恐怕眼里看到的只是章宇而不是宋浩了。#总而言之，是我爱得不够
290,导演你撑不起这些个好演员啊...
291,李霄峰在干嘛啊……我要窒息在电影院了。电影整体浮于表面，任何方面均不出彩，很多地方要观众费心梳理逻辑，小章在演宋浩的内里，像由宋为中心展开的自传，但导演由好像努力向众生相犯罪片铺陈，高考时期部分只是在交代事件，人物特性却和后来的两人毫无联系，每个人的行事动机都感觉断了层。李鸿其的狂妄变成邪魅，宋佳潇洒也过了头，人物疯癫徒添凌乱。两星全部献给小章，有限条件里把宋浩处理得很温柔很舒服，有血肉，太有魅力啦！
