,review
157,如果素材多一些，空中特效再好一些，会更好看一些。这么血腥残酷，血流不止，是不是该分级了。
158,"20201021英皇提前活动场
#局外人看电影#
3.重复性镜头很多，但更多是为了填充时间，三个月拍太赶了拍不出好电影的…然而这不耽误我向为抗美援朝战争付出过血和泪的所有前辈们送出瑞思拜！"
159,这个戏最大的症结所在，就像戴锦华老师评论八佰一样，在这个历史语境之下的文化创作者们被历史地切断了。在文艺虚构之中与历史迎面相撞，粉身碎骨的一定不是历史。
160,不懂美军视角的意义是什么 作为电影注水严重
161,6.5分，普普通通，没啥新意……而且非线性叙事的视角选择，同质化严重
162,跟《八佰》比差了段距离。结构上借鉴《敦刻尔克》《刺杀据点》无可厚非，主要是内容干瘪，形式就成了撑时长。群戏依旧差，特效依旧国产渣水平，格局非常小，小到成了个人化的仇恨对抗。前三段一塌糊涂，全靠张译演技撑，第三段高潮不是悲壮，而是被仇恨吞噬的疯狂。最后一段才有点质感和电影美学。整体松散无力，比较拉垮。
163,三颗星，一颗给张译，两颗给最可爱的人。希望导演能去了解了解金刚川到底是怎么作战的，掩护大部队却连简易工事都🈚，站在平地当靶子，志愿军不是以人海战术取胜，而是精神信仰和战术。
164,完成度真的低。静静地流水叫湍急，敞篷飞机戴牛仔帽，就很扯。这是个值得尊重的题材，应该有更真实更有力量的表达。
165,第四章开启的大型歌舞表演直接拉了大胯……
166,遠看很好，近看很草。電影的成為閃光點從純粹的軍隊兄弟情出發，那就證明它已經失敗了，「神聖驅力」和神聖暴力確實不是一回事
167,就这么说吧，如果八佰是十分，金刚川就是一分，就美国佬那部分还行
168,"看完金刚川我明白了四个道理。
1:钟馗延迟爆炸伤害是很高的！
2:只要做好视野，C位就能稳定安全输出。
3:百里守约拖节奏，四大皆空，禁了。
4:后期经济再高，阵容再强也敌不过120分钟后的超级兵。
"
169,"有条件要上，没有条件创造条件也要上，能在2个月拍成这样的主旋律战争片已经很不错了，还要什么自行车。
第一视角中规中矩，但是内容太满了。
第二视角美军视角拍的太扯了，也可能是有意为之，为了暗示美帝都是纸老虎。
第三视角张译是全片的灵魂所在，完全揭示了管虎导演的意图：张飞救赵云，金刚川救八佰，感人。"
170,1. 两个月的拍摄时间，作为战争片在完成度上来讲相当可以了，管虎这种三视角同一时间展开的办法不得不说太聪明。2. 美国飞行员的视角，大量特效镜头+阿鲲作曲可以确信是出自郭帆手笔，《高炮班》《士兵》两段不太确定。倒是管虎《八佰》里的惯用技法和老毛病还是能体会到的。3. 张译短时间内又完成了一次高难度表演。4. 观影过程中目捕捉的各种细节，比如待完善的特效，重复发生的镜头和台词，拧巴的节奏，头尾过长的介绍，还是得感叹电影这东西还是得需要时间打磨才行。最后，个人喜好程度《高炮班》>《对手》>《士兵》。
171,都是优秀的幕后班底，成片有很多遗憾，可也不能怪他们啊。第三段佳，张译是最大看点，郭帆的导演能力还是让人担心。片尾的志愿军英雄雕像环绕镜头，直接搬自复联2...
172,咋呼的结构以为敦刻尔克呢，煽啊燃啊的往勇闯夺命岛奔去（我最被催泪的战争动作片），结果不就是展示化妆特写的金刚狼。
173,多线叙事本来很期待的，但是几条线的内容基本一致，毫无悬念且剧情一点都没推进，看两遍也就算了，还继续来几遍是真的有点疲劳了，除了演员的演技和片花烈士遗体回国很感动外，这剧毫无吸引力。
174,全片具有一种壮烈美，油画质感的调色增加了厚重感，高炮兵和轰炸机的交火紧迫感和冲击力兼具，阿鲲这次也交出了不逊于汉斯·季默的配乐。张译一个人调动了整部电影的情绪，基本提前锁定影帝。不过看得出借鉴《敦刻尔克》的痕迹，但剪辑还是太糙了，三个导演共用了素材，导致重复镜头略多，看起来有些单一。
175,看的时候一直在提醒自己：这是夸张的手法，这是艺术形式…整部电影最感动的时候是电影结束后的新闻，欢迎回家。
176,为什么这些导演觉得旅游村、度假村可以代表中国农村呢？
177,也就徐峥的《最后一课》能看吧
178,全明星阵容，小品式的剧情，每段还配首歌，惠农政策和农村新貌展示一遍，加俩主持人串场就是春晚了。
179,最后一课＞神笔马亮＞北京好人＞回乡之路=UFO，表演方面能看看范伟老师和韩昊霖，求求别折腾葛优老师了，心疼。PS，陈思诚、徐峥、邓超都拍了老婆，真的就…各有各的境界吧。
180,春晚大杂烩，情绪轰到那儿了，你不哭都不行。别管真与假，眼泪是真的。咔咔哭完，出来一想，为什么哭了？自己也想不明白。
181,包装春晚，开箱村晚；除压轴的开心麻花单元外几乎都趋于尬笑还非要硬拔高的小品范儿。国庆档真正的新片即便都由聪明人操刀，可外表再精致都没能藏住玩命赶工的窘态，这样的复工速度绝非良性电影市场该追求的样态。
182,前三个故事不错，邓超+俞白眉真的是不出意外的垮+尬。
183,如果说去年的我与国还有那么一点用心，今年的我与乡真的尬死我了，真的求求现在的导演不要一拍电影就拍喜剧，那些烂梗真的不好笑，让人尴尬起反作用。徐峥部分还不错，邓超那部分其实也挺好，开心麻花有点小浪漫，宁浩和陈思诚，真的尬，还放在第一第二部分，差点就想离场。
184,沈腾马丽的《神笔马亮》牛逼，单凭一己之力让我把片子给多一星。其他单元真的十分so so。
185,神笔马亮最佳！！没话说！！我的沈马组合，圆满了！
186,怎么能这么无聊……除掉最后一课还能看点其他都是什么
187,做作 适合老年人观看
188,"全都是小品的模式，前半部分是喜剧，后半部分升华一下，很生硬，甚至很尬。
只有《最后一课》像一部电影，《北京好人》和《神秘马亮》一般，《天上掉下个UFO》和《回乡之路》垫底。
《最后一课》用老范生病为引子巧妙连接一座城市的过去和现在，1992年和2020年。
老范得了阿兹海默症，什么都不记得了，连儿子都认不出来了，但还记得28年前学生的鞋子破了、不会算算术、没有颜料。
《北京好人》太短了，拍得不够透彻，不如前作《北京你好》。
《神笔马亮》无功无过。
《天上掉下个UFO》故弄玄虚，虎头蛇尾。
最后应该再加一段，揭晓UFO是假的之后，结果真的UFO来了，但大家都不相信了。
外星人入侵地球，冷锋出现了，说道：犯我地球者，虽远必诛！
《回乡之路》题材很好，但导演水平太差。邓超是个好演员，但的确不适合当导演。"
189,感觉看了一个春晚小品合辑。整体来说挺失望的，又想搞笑、又想煽情，落点又还得弘扬主旋律，也是难为你们各位了。
190,葛优都第一段故事还可看，后面就塌了。这不就是春晚小品串烧吗？有点笑料，最后升华，诠释政策。
191,除开《北京好人》 基本都属于杂耍式喜剧拼贴 僵化的乡村想象 命题作文本应主题明确 但有的导演甚至无法讲完整一个故事 最大可取之处大概在于单元间的衔接较《祖国》有进步 有桌面电影内味儿 演员方面范伟可以称神
192,最喜欢徐峥和开心麻花的单元，让人哭着笑着，触动不同家乡的观众最共情的点。其他三个《北京你好》平平，陈思成的夹私货太严重像网大版唐探（不及格），邓超的有点大而空。
193,其实不太及格。。。其它都不提，就光剧情水平就比上次我和我的祖国至少差一档的水平。其它可能得罪人的话就不说了。挣钱嘛，不寒碜。
194,整体质量参差不齐，相比之下孰好孰坏，一目了然，真的是导演之间勇气的厮杀。有点像刷抖音，这种电影更适合做教学。下一次如果还是这种模式，我就不会再来了。
195,优点是没有了主旋律的明确束缚，再加上是喜剧定位，整体就放开了不少，缺点是五个故事水准明显参差不齐，葛优的故事不如去年祖国里那个，节奏不够紧凑，且他在表演上的过于用力反而逊色于素人的表现，陈思成的明显就是个闹剧，看似高能实则空洞，徐峥的明星众多同样用闹剧性消解了故事性，也是五个故事里唯一硬煽情的，邓超的整体最尬，观感也最差，沈腾的作为喜剧完成度最高和其他几个甚至不在一个水准，作为收尾也挽回了前几个故事的种种乏力，总体上这片可以算是摸出了主旋律献礼片的新拍法，主旋律宇宙看来是指日可待了
196,五个不同的故事，不同的风格，最喜欢的还是徐峥的《最后一课》，《天下掉下个UFO》次之。全片都非常的温暖，笑中带泪的同时，还能唤起大家对家乡的思念。毕竟俗话说的好，哪都不如自己家乡好。
197,总体不如祖国，电影感太差了。宁浩搞什么呢，全靠葛大爷给他撑口碑，不然绝对被群嘲。陈狗正常水准发挥，节奏好而且不煽情。徐峥的之前被吹得太高，以至于看的时候觉得也就那样，而且前半段太闹腾了。邓超也是一贯水准，灌鸡汤，好在短片时间短灌一灌还行，如果是长篇又是一部银河补习班。麻花不错，麻花的黄金配角阵容都太讨喜了。
198,7分，各有优劣。我的顺序应该是3＞5＞1＞2＝4吧，类似这样。有意思的是，五个故事背后都藏着一个做局或者骗的梗，这也是做喜剧比较方便的一种方式。在各自的命题下，大家的表现也能看出几个创作者的格局和爱好了。
199,国庆都能当春节来过，电影当然可以当春晚来拍：中国特色的魔幻现实主义。其实五个小品加在一起，都没最后那首“一条大河波浪宽，风吹稻花香两岸”来得有力。我也想我的家乡了…
200,五个不同的故事，不同的风格，最喜欢的还是徐峥的《最后一课》，《天下掉下个UFO》次之。全片都非常的温暖，笑中带泪的同时，还能唤起大家对家乡的思念。毕竟俗话说的好，哪都不如自己家乡好。
201,总体不如祖国，电影感太差了。宁浩搞什么呢，全靠葛大爷给他撑口碑，不然绝对被群嘲。陈狗正常水准发挥，节奏好而且不煽情。徐峥的之前被吹得太高，以至于看的时候觉得也就那样，而且前半段太闹腾了。邓超也是一贯水准，灌鸡汤，好在短片时间短灌一灌还行，如果是长篇又是一部银河补习班。麻花不错，麻花的黄金配角阵容都太讨喜了。
202,7分，各有优劣。我的顺序应该是3＞5＞1＞2＝4吧，类似这样。有意思的是，五个故事背后都藏着一个做局或者骗的梗，这也是做喜剧比较方便的一种方式。在各自的命题下，大家的表现也能看出几个创作者的格局和爱好了。
203,国庆都能当春节来过，电影当然可以当春晚来拍：中国特色的魔幻现实主义。其实五个小品加在一起，都没最后那首“一条大河波浪宽，风吹稻花香两岸”来得有力。我也想我的家乡了…
204,前作过于参差不齐的断裂性，终于稍作消缓。每一部短片都有很精当的表演，尤其范伟，而张占义和韩昊霖是惊喜。同时，也有很精心的钻营，当命题压轴登场，就容易摧毁前期构建。总体看下来，大富大贵后能演好小人物的不少，但演出共振的屈指可数。
205,我是为了张占义来看这部电影的，草根里的喜剧之王，太好笑了。葛优和范伟的两段最好，不过我比较喜欢葛优这段。最讨厌神笔马良，很多人喜欢这段，我知道你们只是喜欢沈腾和马丽（或者只是喜欢沈腾），刨掉两个演员来说这一段的故事真是烂到爆灯，我已经厌烦看“女人撒泼不懂事但最后被男人的大爱无私感化”的故事了，不懂事又妨碍男人的泼妇是开心麻花电影的标配吗？这一段的编剧和导演可以去拍最美逆行者电影版了。
206,有这样的导演和演员阵容，只要剧本不是很差，基本上不会难看。确实有很多地方都挺好笑的，心情愉悦。至于那些动人的段落，我不行，毕竟是命题作文下的作品，非要煽情，总显得生硬，我想哭却哭不出来，只有尴尬像海。
207,陈思诚真的很敷衍…
208,王宝强真的是越看越尴尬
209,赤县各乡镇联合举办的国庆大型文艺汇演。点名批评陈家沟出的小品节目，不仅不好笑，还带着进城务工多年的傲慢，连村头在哪儿都没摸清就开始尬演，还不如换成村里土生土长的赣娃子搞的先锋话剧。
210,也就徐峥的《最后一课》还不错，情感张力很到位一点儿也不觉得生硬。其他的除了宁浩的和开心麻花的也能勉强一看外都是屎
211,最棒的还是宁浩的《北京好人》，奠定了全片的感情基调；第二个陈思诚的《UFO》相比较就太尬了；《最后一课》也挺感人，范伟演技浑然天成；《回家的路》文本太重，表演痕迹重，太不真实；还好最后的《神笔马良》足够搞笑，煽情适度不算过分。从一处村路两边被P上护栏就能看出，影片并不敢表现出“家乡”的真实样貌，毕竟献礼片，整体水平算可以，但比去年的《我和我的祖国》有挺大差距。
212,还是沈腾马丽组合好看
213,"《北京好人》个人整体感觉最好，但其实家乡的概念最弱，但珍贵之处在于相对其他片看起来更质朴可信，尤其是结尾，没有过度渲染放大主角的光芒，葛优最后依然会跑到村委会想着用医保报销，回归小市民选择。
《UFO》的“唐人街番外”感很强，黄渤自己，还有王宝强刘昊然组合升级放大了片中的喜剧成分，很欢乐很闹，但片尾的转折是真的如山路十八弯的湍急。
《最后一课》或许因为大家的评价我抱着高期待，以至于觉得除了范伟老师表演很强外，片中所有的情绪堆叠和剧情发展都太快，让人有点措手不及。
《回乡之路》我了解片子想要做主角前后对家乡贡献的弧光转变，但却没告诉观众动机。
《神笔马亮》是最小品的一部短片，该片话剧临场感很强，这也和两位导演拍舞台话剧出身有关系，观感来看最奇怪也是这一部了。"
214,确实只有徐峥的《最后一课》好一些。肉身（当下）与记忆（曾经）交织，自然带出村落的变迁。彩色笔的设计也好，老范摔倒，颜料跌落水中，是想为孩子捧回一片缤纷未来，倏忽间得见彩色建筑，是很有诗意的一笔。宁浩的喜剧，离开了荒诞，就变得没那么有力了。可以想到，其实也可以解决，就是那人真的没有医保。可这在枷锁里，是不可能的事。
215,骗术大全，按故事排列顺序：身份上的欺骗，事实上的欺骗，时间上的欺骗，财力上的欺骗，空间上的欺骗。我和我的家乡居然全要靠“谎言”才能快乐地建立起联系！细思极恐。
216,两星半，每段都有不适之处但作为主旋律小品大体过得去。整体看来却更加惨白，五个故事，三个出现了昏厥情节，四个将欺瞒和圆谎作为叙事动力，五个全都涉及乡镇发展，可见这种命题创作的僵化。最令人迷惑的是：家乡=乡村？老有人说片场时代的导演消费旧时代苦难，这里难道不更恶劣？《UFO》起初以为在反思信息化和商业化对本土的侵蚀，看到结尾着实魔幻了……那段零分。邓超忍辱负重的人设也是受够了，《回乡的路》不及格。《北京好人》三星，不如《北京你好》。《祖国》里徐峥的段落很恶臭以及其它一些事情对这个人没什么好印象了，但是得承认《最后一课》是里边最好的。开心麻花大体及格但还是有语言歧视的成分（对艺术家和同性恋），狗改不了吃屎吧可能。
217,格局上确实太像春晚小品了，有些反转根本就没必要，那么用力干嘛，总菊杀你头不成。
218,排序和大部分人差不多，《神笔马亮》和《最后一课》不相上下，《北京好人》略温吞，《UFO》闹过之后只剩鸡毛，《回乡之路》走的是尴尬生硬的主旋律之路。PS.在剧情片里看到家乡的身影，有种很新奇的感觉。
219,还行 适合国庆档的主旋律电影，马屁拍的不太尬。每一位导演都想把自己的漂亮老婆塞电影里
220,五个故事全和“谎言”有关，为什么不叫我和我的大小谎言呢？
221,一般般吧 可能我笑点泪点都很高 感觉没去年我和我的祖国好看 故事不够短小精悍。就是没足够在30分钟完成起承转合，节奏感觉不够好。最后一课的节奏不错。看来徐峥很擅长讲小故事 因为巧妙的是他选择老师路线容易打动，故事完整且短小，把家乡作为环境
222,一流演技，二流导演，三流编剧。
223,编剧层面我有如下困惑：①李鸿其饰演的李唐在收费站用钱贿赂章宇饰演的宋浩时因为恼羞成怒拿着装满钱的袋子怒砸后面排队等缴费的车子，我想问不担心监控吗？不担心被宋浩的其他同事看到吗？即便是副市长的儿子也不能这么明目张胆吧？②王砚辉饰演的宋浩父亲既然可以这样轻松掩盖自己杀人的事实，那又何必让儿子远走他乡？同时既然那么爱儿子，为啥让儿子从事如此艰苦的工作呢？③宋佳饰演的潘晓霜就因为在暴雨那天目睹上身赤膊的宋浩就迷恋了整整15年？④邓恩熙饰演的万小宁被李唐开车撞死后，宋浩埋尸时尸体嘴唇那么红依然有血色太过不合理。卡司确实不错，章宇表演也比较出彩，但电影的野心似乎过大，将入学名额顶替、官商勾结、地产商强拆、裸官等很多社会现实问题都包罗了进去，利用2条命案勾连，却在很多细节上出现不少BUG或不够考究的地方。
224,剧情推进的太硬了，更适合拍个四集的迷你剧
225,少年时期和成年后割裂感强，自从浮夸的李鸿其出场开始一路崩塌到最后。少年时沉稳仗义的李唐为何变成浮夸暴发户？没交代。潘晓霜为什么非得硬贴男主？一夜情后怎么就突然要结婚了？没交代。男主在船上跳海游泳想表达什么？群演集体表情夸张地唱大海啊故乡是什么鬼？李唐前期只是浮夸暴发户为什么突然变成杀人狂魔？全程三个人面面相觑，剧本不行，不合理的细节一大堆，白瞎了一堆演员。
226,"哎，剧本啊。。。
但是抛开这些，这片简直是章粉福利啊，床戏，打架，洗澡，灰头土脸，还有李鸿章CP，好康！！!"
227,编剧不尽人意，演员拼劲全力，导演故作文艺，整体差强人意~
228,一開場殺人補刀趕走兒子就人物動機稀碎，完全沒有說服力，這不是為難演員麼？與其一部部趕著拍，不如先把劇本和人物搞清楚。男演員們演得賣力，卻因為casting和劇作的問題被削弱；宋佳的表現挺動人，可能是唯一的亮點，但她儼然像在拍另外一部電影。
229,大概能想象编剧们一起剧本研讨会时绞尽脑汁编故事的场景了。
230,总体而言不大成熟，影片的主旨不够清晰，人物动作不明确，拟音也有不少低级失误，另外，章宇的妆容影响了观众看他的面部表情；影片的长处在于氛围的渲染，犯罪片的灯光和音乐渲染比较重要，相对做的还可以，但导演要走的路还很长。
231,#SIFF  三星给摄影。个人认为女主的人物故事线过于突兀，其他各个人物做事的动机都不是那么有力。影片开头讲了故事的开端，然后一直到电影的中间段给我一种跑题的感觉，我以为后半段的情节会说明前面看似跑题实则是伏笔，后来发现我想多了。。
232,浪费了好故事，也浪费了演员，硬接，硬过渡，硬巧合，硬来，硬上，突然出来、突然消失，突然接上，突然得有些抓马；故事没做实，很多东西基本是用嘴说出来，人物不入心互动，基本像工具人在各行其是，所以显得主次不分，李鸿其、小宋佳有些段落搞得像演小品似的，人物设置得有些滑稽了；被顶替的事情没仔细深入，被改变的人生也经不住推敲，整个框架已经在摇摇晃晃，导演还沉醉于小心思、小聪明的小细节设计，像个罪案片，又像伦理片，又像文艺片，其实都不太像。也许这个故事交给大鹏、五百、饶晓志这些导演，可能都比李霄峰拍得好看、卖钱。
233,章宇这个角色，其实就是一个随波逐流的人。他的命运，甚至爱情，都是被别人推着往前的。
234,"比起前作的确有较大精进。最高光的无疑是选角。

想把所有赞美都留给章宇！时光在他身上几乎凝固了。他一直停留在某个拒绝沟通/成长的「钟型罩」里，15年后面对当年的婴儿，他仍是那个稚拙、执著、沉默、坚忍的男孩，那种与年龄无关、与时代脱轨的青涩真是让人心疼；众人合力打破罩子的结果显然残酷到残忍，他被迫重新堕入800米的海底，被迫再次迷失自己，一个被命运捉弄的弃子，再度被命运抛弃。蓄满泪水的眼睛太具有杀伤力了，同名片尾曲好听哭了---所有风平浪静的表象之下，有多少万千暗流无声涌动。

叙事趋于沉稳，集结大量富有戏剧冲突的强情节，在多线头捏合编织上显得较刻意而生硬，人性的沉浮未必一定与社会大背景糅合，剧本仍需打磨。表演很具有层次感，大量丰富内心戏都在眼神和肢体语言中体现出来，积淀了角色的人生体悟。"
235,车牌挺有意思，三十年河东，三十年河西。但即便有好演员，可奈何角色不抓人。为什么呢？因为铸就他们的悲剧，太“普通”了点，没有特异性，而且几乎都没有人物转变的曲线，无法让人产生共情；另一方面也因为导演手法的疏离感，配乐镜头光影等等，让观众进一步远离移情的可能性。就是说，他妈的就因为大家太优秀了，大家越努力，这电影就越不对劲。
236,故事是脱节的，第一和第三幕主题是误杀后的赎罪，第二幕完全是个不相关的爱情故事。演员都不错，各有华彩段落，李鸿其像在模仿《老手》里的刘亚仁。
237,首映，演技和视听语言没得说，但是编剧和电影节奏差了口口口气。ps赞美配乐和章宇！！！！章宇太帅了！！！
238,成片的逻辑有巨大疏漏，但某些段落现实感与超现实感并立而行，相当刷新感官。
239,剧情走向，人物动机，哪哪都有问题，太尴尬了，还好有演员过硬的演技撑住了全场（李演的太浮夸了）。导演和编剧真的要好好反思一下。
240,"（1）开场不错，后劲不足。
（2）尺度有一些，涉及高考保送名额顶替、官商勾结、强拆等敏感话题。
（3）主线故事：一个人能够背负着巨大的秘密，过表面太平的生活？
（4）归根结底，所有悲剧源于“保送名额被顶替”，这是原罪，才牵扯出后续的一连串悲剧。父亲沦为白手套，儿子远走他乡避难。
（5）导演善于利用特殊空间做戏，印象深的有三处。①废墟重逢，重逢是好，但废墟是真；②楼道里，声控灯忽明忽暗，男女间危险的暧昧；③高速收费站，一走一留，爱情在这里发生；
（6）比较亮点的是，父亲这个角色，挺复杂。他才是全片最大反派，爱与自私并存。联想起李霄峰导演前作《少女哪吒》，这部可看作“少年哪吒”，看他如何剔骨还父；
（7）导演李霄峰进步明显。但他过于迷恋奇情，依赖戏剧性，导致剧本总给人牵强赴会的感觉。"
241,1.和吴谢宇、《阳光普照》里的许光汉是不同方向的优等生破碎。但应该避免用“准清北生”（且全校唯一）给予角色弧光，沉闷、讷言外，聪慧（哪怕只适用于应试的聪慧）、骄傲反而缺少“反向”交代。2.对自我放逐的十五年语焉不详，恪守戒律清规的品格找不到合理支撑。
242,e……一言难尽的三星。作为主角的章宇29分钟才从烟尘弥漫中走出来，通过接电话自报家门告诉了观众他就是前面的中学生长大了（如此生硬的成长也是少见），李鸿其不知道是在模仿姜紫成还是小丑……前面的1小时30分钟属于那种拍了不知道有啥意义的故事，但起码画面和表演拍的还有模有样，应该能给三四星吧，结果突如其来一场旱地拔葱的高潮戏直接拉到了两三星……行吧，就三星吧。
243,单场戏有可圈可点的地方，组合在一起却像是缺乏了润滑剂的齿轮那般拧巴，叙事逻辑坍塌/人物关系割裂/视角选取混乱都让文本的可信度大打折扣，诚然这些“洞”在一定程度上被表演（李鸿其太出戏除外）与摄影进行了填补，最终的成片也绝对不是这个项目能被执行出的最佳结果，作为导演的李霄峰当然要负直接责任
244,李霄峰作品特点：演员是亮点、画面有质感、故事很拉胯。这片故事底子不错，但影片却一直在东拉西扯、断线重连。说两点比较好的吧，一是宋佳和章宇的对手戏。其实两人极不来电的情感戏份一开始还有些尴尬，但这种尴尬最终竟然能够演绎出一种蹩脚的浪漫，甚至成为了全片最好看的部分，这不得不说是得益于两位演员出色的表演。宋佳引导着这场女追男的情感戏，两人从尬到不忍直视到干柴烈火，是真真地“睡服”了章宇，而章宇则塑造了一个内向的、有点性感的、还有点禁欲系的男人形象，相比他以往的角色又有了一些突破，不简单。另一个则是李霄峰一直以来对摄影和画面的要求，很有质感，他在用光方面尤其动心思，比如片中章宇和邓恩熙在楼道中的戏份，声控感应灯随着两人的对话一明一暗，完美地契合了人物的心理状态和情感爆发，效果很不错，挺聪明的玩法。
245,剧本有些疑惑，风拍门、遂补刀等几处值得商榷，但大爱宋佳和章宇的戏——这是整部戏的肉。表面平静，实际裂流。走廊声控灯的处理，俩人各自献唱的闽南和客家话歌曲也算是印象深刻，导演依然爱这种类罪与罚的故事，无奈现实就是杀人放火金腰带，平地高楼无尸骸。在一个没有信仰的国度，如同必然会到来的结尾字幕，什么事都可能发生。
246,真的是最后一次了，下次就算李霄峰找章宇和张颂文拍A片我也不看了。太差了，怎么好意思。 章宇真的太迷人了他妈的，谁不想跟他发生点什么。
247,感谢有关部门，罪犯可以有良心，部分官员可以没良心了，可是离真正的人性深度还是差了好几层。剧本不合理的地方太多。不过我最不满的地方倒不该怪编剧，而是最后捅了自己和老爸，留下坏蛋去伏法。换了日片和港片肯定是小人物怀揣短刀血溅五步啊。影像氛围非常有美感，有时甚至牺牲了真实性，例如台风暴雨天透进屋内的阳光，还有从宋浩视角望去应该毫无遮挡的烟花。宋佳自从被文章调教过之后就彻底无厘头了，爱情戏演得非常灵，跟章宇一起救了这片子。
248,今年目前为止割裂感最大的一部电影。一方面，剧本实在够烂，情节衔接和人物关系一团乱麻，开头节奏进入慢，结尾处理含糊不清，而且至少把宋佳对章宇的饥渴情感稍微铺垫下吧，我上我真行。另一方面，演员们的表现实在太棒了，隐忍负重的章宇，热情奔放的宋佳，浑身是戏的王砚辉，嚣张跋扈的李鸿其，且刚且柔的邓恩熙...今年第一部全员都有专属showtime的华语电影。在割裂感如此之大的情况下，导演的控场尤为重要，李霄峰竭力交了一张差强人意的答卷，全程特写人物面部表情烘托情绪，穿插空境远景奠定整体基调，把影片的气质拿捏得算是精准，而收费站求婚和声控灯走廊两场对手戏十分精彩，前者是极致的浪漫外放，后者是极致的感情压抑，两段戏将成为我的年度最佳电影段落候选。
249,"❶你把他当兄弟，他抢你保送名额；你把他当兄弟，你不知道他家庭住址。（摇晃的大门只是有点引诱的意味，但还不至于是令人信服的阴差阳错的巧合、冥冥之中的安排。实际呈现的效果不足以支撑随后建立在此的故事主体）❷看似突破犯罪片尺度，实际相关的内容近乎边缘化。一个清华北大的料，最想声讨的首先是友情，其次是公平；前去声讨友情未果，横生枝节惹命案，这已是第二次断裂。保送名额被抢，但是高考机会是自己葬送的。由此展开的颠沛流离，如何引起共情？
❸“你不是对我没兴趣吗？”——全片最佳画面感；其次是收费站谈婚论嫁；最次是：撑一把伞，迎风淋雨八百米。"
250,总的来说the film fails the cast 章宇李鸿其宋佳都挺好的 尤其两个男的 但情节充满了逻辑和常识漏洞 还有很多为拍而拍的东西 每两分钟都想问一次excuse me真的很跳戏 太瞎了 很多时候觉得章宇说着台词都快笑场了 导演仍如前作一样执迷于红光蓝光和声效 做好了叫作者 做不好就…再加油… 还有中间有一小段故意营造的荒诞 呃就…好的吧…最后就想说小宋浩的鼻子以下和张孝全还挺像 
251,意外或是注定，好学生的命运就此改写，从原定保送的全校第一到石雕厂工人，这样的落差即便是十五年我想也难以消化。满怀愧疚的半生蹉跎，好不容易有了一些起色后再次被生活当头棒喝，或者说被兄弟和父亲亲手摧毁。结局在意料之中，片尾曲是章宇自己唱得倒是更令人惊喜，宋佳太迷人我要无限回味她的恰恰和雨中撑伞了～
252,剧本得好好弄弄，一剧之本！结尾得莫名其妙，经不起推敲，其他都还好。
253,莫名其妙又故弄玄虚的平庸悬疑犯罪片，如果是部爱情片，可能更好
254,每个人都在吐槽剧本问题哈哈哈，用一句台词说就是“可惜了一屋子的精致”。
255,就还好吧，这个演员阵容明显对剧本要求很高，但实际上磕磕绊绊。片尾曲很好听。ps.为什么提问环节总有人爱站起来长篇大论抒发自己的感想啊？真当自己是宇宙中心全场观众都爱听你叭叭叭呢？
256,一出闹剧。像是演员请就位的戏串起来组成了一部整片，A到D级参差不齐、风格迥异的表现，不用仔细理顺的人物动机，生硬的过度桥段仿佛撩拨着大家随缘观赏，开心最重要啦，认真你就输喽。大小宋浩在碎石和阵阵白烟中完成的代际交接甚至呈现出了一种发生在真实世界的舞台剧效果，荒谬的有些抓马。能够理解主人公内心逐渐走向崩溃的根因，但随着几次草率的情节转折，加之可信群演的缺席，以及演员们的标准普通话，几乎击碎了所有能和真实情境连接的桥梁。情绪也许很足，但这切口太小太小。导演可能更适合去拍犯罪类型片，而非需要海量生活片段构筑成的剧情片。当然不得不承认抛尸片段的跳接完成的很漂亮，BGM具有极强的参与感。宋佳在收费站的特写，碎发瞬间飘忽的样子也很美。章宇的肉体让人直拍大腿，谁能忍住想睡他的欲望呢！为此多加一点星吧。
257,撞死小萝莉的那一下感到了心痛，但其他时刻都没有人物。演员真的好，宋佳不容易，这么难演的台词都给说出来了
258,全靠章宇来撑起电影真的很不容易如果都是床戏还讨 “巧”《巧》只是这是一个过失杀人的案子爱情就凸显牵强附会，反正我倒是喜欢看电影🎦里的“女追男”那种义无反顾的倒贴“送上门”(电影里她自己调侃自己)图啥不知道，还有后半场替代她当收费员也牵强没有理由，电影之前的铺垫说服力不够，老同学进错房间真的不可能，当然所有这样只能靠章宇全程紧绷的脸完成，哪怕在床上完成15年的苦闷一射，收费站求婚倒是出乎意外，而最后收费站排队到他爆发为啥啊？没懂，反正逼死男主和他多事的爹完成父子救赎拉倒，所谓风平浪静真的是经历了生死的大风大浪起码是92年的台风大世面了，从1992叙述到15年后应该是2007年左右的反腐故事其中还是多起命案，喜欢章宇哥哥的看演技吧，好在看着养眼得了别考虑什么故事性了，毕竟我们不是单看故事
259,观感像是几个高级的演员演了几段“演员请就位”，个个都好，但剧本太割裂，人物全都没有展开，故事全在意料之中
260,我没啥感觉的公认好片。
261,评分超高的影片，看完毫无感觉，明明很一般啊，嗯，一定是我不懂得欣赏
262,真的是很好看的一部电影，男主角演活了这个杀手，小女孩的纯真与杀手的冷峻形成了反差，只是最后结局太虐了！
263,这个电影其实也是直面人性的考验，警察也可以冷血，杀手也能有柔情。其实看过之后也会有思考。
264,剧情是比较新颖，但是我没有get到里面的爱情…强行get也get不到
